1,1,Arizona Cardinals,State Farm Stadium,AT&T Stadium,870
2,1,Arizona Cardinals,State Farm Stadium,Levi's Stadium,650
3,1,Arizona Cardinals,State Farm Stadium,NRG Stadium,1115
4,1,Arizona Cardinals,State Farm Stadium,Broncos Stadium at Mile High,580
5,1,Arizona Cardinals,State Farm Stadium,Sofi Stadium,372
6,2,Atlanta Falcons,Mercedes-Benz Stadium,AT&T Stadium,740
7,2,Atlanta Falcons,Mercedes-Benz Stadium,Bank of America Stadium,225
8,2,Atlanta Falcons,Mercedes-Benz Stadium,Hard Rock Stadium,600
9,2,Atlanta Falcons,Mercedes-Benz Stadium,Mercedes-Benz Superdome,425
10,2,Atlanta Falcons,Mercedes-Benz Stadium,Paul Brown Stadium,375
11,3,Baltimore Ravens,M&T Bank Stadium,FedExField,90
12,3,Baltimore Ravens,M&T Bank Stadium,Lincoln Financial Field,80
13,4,Buffalo Bills,Bills Stadium,Ford Field,210
14,4,Buffalo Bills,Bills Stadium,Gillette Stadium,429
15,4,Buffalo Bills,Bills Stadium,Heinz Field,225
16,4,Buffalo Bills,Bills Stadium,Lambeau Field,430
17,4,Buffalo Bills,Bills Stadium,CenturyLink Field,2070
18,5,Carolina Panthers,Bank of America Stadium,TIAA Bank Field,342
19,5,Carolina Panthers,Bank of America Stadium,FedExField,340
20,5,Carolina Panthers,Bank of America Stadium,Mercedes-Benz Stadium,225
21,5,Carolina Panthers,Bank of America Stadium,Heinz Field,365
22,6,Chicago Bears,Soldier Field,Arrowhead Stadium,415
23,6,Chicago Bears,Soldier Field,Lambeau Field,80
24,6,Chicago Bears,Soldier Field,Lucas Oil Stadium,50
25,7,Cincinnati Bengals,Paul Brown Stadium,FirstEnergy Stadium,225
26,7,Cincinnati Bengals,Paul Brown Stadium,Mercedes-Benz Stadium,375
27,7,Cincinnati Bengals,Paul Brown Stadium,Heinz Field,260
28,7,Cincinnati Bengals,Paul Brown Stadium,Lucas Oil Stadium,250
29,7,Cincinnati Bengals,Paul Brown Stadium,Nissan Stadium,240
30,8,Cleveland Browns,FirstEnergy Stadium,Ford Field,90
31,8,Cleveland Browns,FirstEnergy Stadium,Heinz Field,115
32,8,Cleveland Browns,FirstEnergy Stadium,Paul Brown Stadium,225
33,9,Dallas Cowboys,AT&T Stadium,Arrowhead Stadium,460
34,9,Dallas Cowboys,AT&T Stadium,Mercedes-Benz Stadium,740
35,9,Dallas Cowboys,AT&T Stadium,NRG Stadium,230
36,9,Dallas Cowboys,AT&T Stadium,Broncos Stadium at Mile High,650
37,9,Dallas Cowboys,AT&T Stadium,State Farm Stadium,870
38,10,Denver Broncos,Broncos Stadium at Mile High,AT&T Stadium,650
39,10,Denver Broncos,Broncos Stadium at Mile High,Arrowhead Stadium,560
40,10,Denver Broncos,Broncos Stadium at Mile High,Levi's Stadium,930
41,10,Denver Broncos,Broncos Stadium at Mile High,Sofi Stadium,1015
42,10,Denver Broncos,Broncos Stadium at Mile High,State Farm Stadium,580
43,11,Detroit Lions,Ford Field,FirstEnergy Stadium,90
44,11,Detroit Lions,Ford Field,Lucas Oil Stadium,240
45,11,Detroit Lions,Ford Field,Bills Stadium,210
46,12,Green Bay Packers,Lambeau Field,Bills Stadium,430
47,12,Green Bay Packers,Lambeau Field,Soldier Field,80
48,12,Green Bay Packers,Lambeau Field,U.S. Bank Stadium,300
49,13,Houston Texans,NRG Stadium,AT&T Stadium,230
50,13,Houston Texans,NRG Stadium,Hard Rock Stadium,965
51,13,Houston Texans,NRG Stadium,Mercedes-Benz Superdome,320
52,13,Houston Texans,NRG Stadium,Nissan Stadium,670
